codigo,descripcion,NOVA,env_group_arrieta,env_group_comparable,env_group_extended,mapping_level,extra_rule
Z004,Aceite de oliva,2,Oil crops,Oil crops,Oil crops,base_arrieta,none
Z031,"Aceite de oliva, para cocción",2,Oil crops,Oil crops,Oil crops,base_arrieta,none
Z042,Aceite de sésamo,2,Oil crops,Oil crops,Oil crops,base_arrieta,none
Z007,Aceite de soja,2,Oil crops,Oil crops,Oil crops,base_arrieta,none
Z035,"Aceite de soja, para cocción",2,Oil crops,Oil crops,Oil crops,base_arrieta,none
Z006,Aceite de uva,2,Oil crops,Oil crops,Oil crops,base_arrieta,none
Z033,"Aceite de uva, para cocción",2,Oil crops,Oil crops,Oil crops,base_arrieta,none
Z025,"Aceite para cocción, PROMEDIO",2,Oil crops,Oil crops,Oil crops,base_arrieta,none
Z000,"Aceite, PROMEDIO",2,Oil crops,Oil crops,Oil crops,base_arrieta,none
Z024,Rocío vegetal,4,Oil crops,Oil crops,Oil crops,base_arrieta,none
Z037,"Rocío vegetal, para cocción",4,Oil crops,Oil crops,Oil crops,base_arrieta,none
Z043,Alimento a base de almendras (leche de almendras),4,Oil crops,Oil crops,Oil crops,base_arrieta,none
Z040,Alimento a base de castañas (leche de castañas),4,Oil crops,Oil crops,Oil crops,base_arrieta,none
Z050,Alimento a base de almendras con chocolate (chocolatada),4,Oil crops,Oil crops,Oil crops,base_arrieta,none
Z008,Almendra,1,Oil crops,Oil crops,Oil crops,base_arrieta,none
Z009,Avellana,1,Oil crops,Oil crops,Oil crops,base_arrieta,none
Z045,Gomasio (sésamo integral tostado y molido con sal marina),2,Oil crops,Oil crops,Oil crops,base_arrieta,none
Z011,Maní tostado salado,2,Oil crops,Oil crops,Oil crops,base_arrieta,none
Z010,Maní tostado sin sal,2,Oil crops,Oil crops,Oil crops,base_arrieta,none
Z048,Mantequilla de maní,4,Oil crops,Oil crops,Oil crops,base_arrieta,none
Z047,fortificado con calcio,1,Oil crops,Oil crops,Oil crops,base_arrieta,none
Z016,"Mix de frutos secos, semillas y pasas de uva",4,Oil crops,Oil crops,Oil crops,base_arrieta,none
Z012,Nuez,1,Oil crops,Oil crops,Oil crops,base_arrieta,none
Z013,Pistacho,1,Oil crops,Oil crops,Oil crops,base_arrieta,none
Z038,Pistacho salado,2,Oil crops,Oil crops,Oil crops,base_arrieta,none
Z041,Semilla de chía,1,Oil crops,Oil crops,Oil crops,base_arrieta,none
Z014,Semilla de girasol,1,Oil crops,Oil crops,Oil crops,base_arrieta,none
Z049,Semilla de girasol con sal y con cáscara,2,Oil crops,Oil crops,Oil crops,base_arrieta,none
Z015,Semilla de sésamo,1,Oil crops,Oil crops,Oil crops,base_arrieta,none
Z044,Semilla de zapallo,1,Oil crops,Oil crops,Oil crops,base_arrieta,none
Z046,Semilla de amapola,1,Oil crops,Oil crops,Oil crops,base_arrieta,none
Z039,Semilla de lino,1,Oil crops,Oil crops,Oil crops,base_arrieta,none
D003,Azúcar blanca molida,2,NA,Sugars_OWID,Sugars_OWID,extra_comparable,D_sugar_to_owid_sugars
D070,Azúcar light,4,NA,Sugars_OWID,Sugars_OWID,extra_comparable,D_sugar_to_owid_sugars
D127,Azúcar impalpable,2,NA,Sugars_OWID,Sugars_OWID,extra_comparable,D_sugar_to_owid_sugars
D004,Azúcar morena / azúcar mascabo,2,NA,Sugars_OWID,Sugars_OWID,extra_comparable,D_sugar_to_owid_sugars
D083,Edulcorante en polvo con aspartamo y acesulfame k,4,NA,NA,AGB_confiseries,extra_agribalyse,D_other_to_agb_confiseries
D084,"Edulcorante en polvo con sacarina y ciclamato (tipo Hileret clásico 1 a 10, Sucaryl",4,NA,NA,AGB_confiseries,extra_agribalyse,D_other_to_agb_confiseries
D085,Edulcorante en polvo con stevia,4,NA,NA,AGB_confiseries,extra_agribalyse,D_other_to_agb_confiseries
D071,"Edulcorante en polvo, PROMEDIO",4,NA,NA,AGB_confiseries,extra_agribalyse,D_other_to_agb_confiseries
D086,Edulcorante en polvo con sucralosa,4,NA,NA,AGB_confiseries,extra_agribalyse,D_other_to_agb_confiseries
D093,Edulcorante en tabletas o comprimidos con aspartamo y acesulfame k,4,NA,NA,AGB_confiseries,extra_agribalyse,D_other_to_agb_confiseries
D094,Edulcorante en tabletas o comprimidos con ciclamato y sacarina,4,NA,NA,AGB_confiseries,extra_agribalyse,D_other_to_agb_confiseries
D092,Edulcorante en tabletas o comprimidos sin identificar,4,NA,NA,AGB_confiseries,extra_agribalyse,D_other_to_agb_confiseries
D091,"Edulcorante líquido con ciclamato, sacarina y sucralosa",4,NA,NA,AGB_confiseries,extra_agribalyse,D_other_to_agb_confiseries
D088,Edulcorante líquido con aspartamo,4,NA,NA,AGB_confiseries,extra_agribalyse,D_other_to_agb_confiseries
D089,Edulcorante líquido con sacarina y ciclamato,4,NA,NA,AGB_confiseries,extra_agribalyse,D_other_to_agb_confiseries
D072,Edulcorante líquido con stevia,4,NA,NA,AGB_confiseries,extra_agribalyse,D_other_to_agb_confiseries
D090,Edulcorante líquido con sucralosa,4,NA,NA,AGB_confiseries,extra_agribalyse,D_other_to_agb_confiseries
D087,"Edulcorante líquido, PROMEDIO",4,NA,NA,AGB_confiseries,extra_agribalyse,D_other_to_agb_confiseries
D116,Glucosa,4,NA,NA,AGB_confiseries,extra_agribalyse,D_other_to_agb_confiseries
D037,Alfajor de arroz,4,Baked products,Baked products,Baked products,base_arrieta,D_bakedsweet_to_baked
D001,Alfajor de chocolate,4,Nuts and seeds,Nuts and seeds,Nuts and seeds,base_arrieta,D_chocolate_to_owid_choc
D028,Alfajor de chocolate con relleno tipo mousse,4,Nuts and seeds,Nuts and seeds,Nuts and seeds,base_arrieta,D_chocolate_to_owid_choc
D002,Alfajor de dulce de leche,4,Baked products,Baked products,Baked products,base_arrieta,D_bakedsweet_to_baked
D036,Alfajor de fruta,4,Baked products,Baked products,Baked products,base_arrieta,D_bakedsweet_to_baked
D029,Alfajor de maicena,4,Baked products,Baked products,Baked products,base_arrieta,D_bakedsweet_to_baked
D107,Alfajor de miel,4,Baked products,Baked products,Baked products,base_arrieta,D_sugar_to_owid_sugars
D035,Alfajor light,4,Baked products,Baked products,Baked products,base_arrieta,D_bakedsweet_to_baked
D104,"Alfajor santafesino, tapas cubiertas con glasé",4,Baked products,Baked products,Baked products,base_arrieta,D_bakedsweet_to_baked
D118,Algodón de azúcar,2,NA,Sugars_OWID,Sugars_OWID,extra_comparable,D_sugar_to_owid_sugars
D102,Bananita con cobertura de chocolate,4,Nuts and seeds,Nuts and seeds,Nuts and seeds,base_arrieta,D_chocolate_to_owid_choc
D132,Barra proteica,4,NA,Baked products,Baked products,extra_comparable,D_bakedsweet_to_baked
D041,Barra de arroz rellena bañada,4,NA,Baked products,Baked products,extra_comparable,D_bakedsweet_to_baked
D044,Bombones de fruta,4,NA,NA,AGB_confiseries,extra_agribalyse,D_other_to_agb_confiseries
D014,Caramelos duros,4,NA,Sugars_OWID,Sugars_OWID,extra_comparable,D_sugar_to_owid_sugars
D015,Caramelos duros light,4,NA,Sugars_OWID,Sugars_OWID,extra_comparable,D_sugar_to_owid_sugars
D013,Caramelos masticables,4,NA,Sugars_OWID,Sugars_OWID,extra_comparable,D_sugar_to_owid_sugars
D012,Caramelos rellenos,4,NA,Sugars_OWID,Sugars_OWID,extra_comparable,D_sugar_to_owid_sugars
D042,Chicles,4,NA,NA,AGB_confiseries,extra_agribalyse,D_other_to_agb_confiseries
D043,Chicles sin azúcar,4,NA,Sugars_OWID,Sugars_OWID,extra_comparable,D_sugar_to_owid_sugars
D047,Chupetín,4,NA,NA,AGB_confiseries,extra_agribalyse,D_other_to_agb_confiseries
D034,Conito de dulce de leche envasado,4,NA,NA,AGB_confiseries,extra_agribalyse,D_other_to_agb_confiseries
D110,Crema saborizada envasada tipo Ducrem,4,Dairy products,Dairy products,Dairy products,base_arrieta,D_other_to_agb_confiseries
D033,Cubanito relleno,4,NA,NA,AGB_confiseries,extra_agribalyse,D_other_to_agb_confiseries
D080,Garrapiñada de maní,4,NA,NA,AGB_confiseries,extra_agribalyse,D_other_to_agb_confiseries
D125,Golosinas de merengue y cucurucho tipo Heladitos / Gallinitas,4,NA,NA,AGB_confiseries,extra_agribalyse,D_other_to_agb_confiseries
D048,Gomitas de gelatina,4,NA,NA,AGB_glaces,extra_agribalyse,D_icecream_to_agb_glaces
D122,Habanitos de chocolate,4,Nuts and seeds,Nuts and seeds,Nuts and seeds,base_arrieta,D_chocolate_to_owid_choc
D101,Malvaviscos,4,NA,NA,AGB_confiseries,extra_agribalyse,D_other_to_agb_confiseries
D040,Merengues / merenguitos,4,NA,NA,AGB_confiseries,extra_agribalyse,D_other_to_agb_confiseries
D106,Mielcitas,2,NA,Sugars_OWID,Sugars_OWID,extra_comparable,D_sugar_to_owid_sugars
D038,Minitorta bañada,4,Baked products,Baked products,Baked products,base_arrieta,D_bakedsweet_to_baked
D032,Oblea bañada tipo Kit Kat,4,NA,NA,AGB_confiseries,extra_agribalyse,D_other_to_agb_confiseries
D039,Oblea bañada tipo Nugaton,4,NA,NA,AGB_confiseries,extra_agribalyse,D_other_to_agb_confiseries
D045,Pastillas,4,NA,NA,AGB_confiseries,extra_agribalyse,D_other_to_agb_confiseries
D046,Pastillas sin azúcar,2,NA,Sugars_OWID,Sugars_OWID,extra_comparable,D_sugar_to_owid_sugars
D049,"Postre a base de pasta de maní, tipo Mantecol",4,NA,NA,AGB_glaces,extra_agribalyse,D_icecream_to_agb_glaces
D030,Rhodesia,4,NA,NA,AGB_confiseries,extra_agribalyse,D_other_to_agb_confiseries
D079,Tableta de dulce de leche light,4,NA,NA,AGB_confiseries,extra_agribalyse,D_other_to_agb_confiseries
D078,Tableta de dulce de leche,4,NA,NA,AGB_confiseries,extra_agribalyse,D_other_to_agb_confiseries
D031,Tita,4,NA,NA,AGB_confiseries,extra_agribalyse,D_other_to_agb_confiseries
D052,Baño de repostería para cubrir tortas,4,Baked products,Baked products,Baked products,base_arrieta,D_bakedsweet_to_baked
D053,Barra de chocolate tipo Kinder,4,Nuts and seeds,Nuts and seeds,Nuts and seeds,base_arrieta,D_chocolate_to_owid_choc
D054,Bocadito con dulce de leche tipo Cabsha,4,NA,NA,AGB_confiseries,extra_agribalyse,D_other_to_agb_confiseries
D113,Bocadito tipo Dos Corazones,4,NA,NA,AGB_confiseries,extra_agribalyse,D_other_to_agb_confiseries
D115,Bocadito tipo Marroc,4,NA,NA,AGB_confiseries,extra_agribalyse,D_other_to_agb_confiseries
D055,Bombón tipo Bon O Bon,4,NA,NA,AGB_confiseries,extra_agribalyse,D_other_to_agb_confiseries
D129,Bombón de chocolate relleno de licor,4,Nuts and seeds,Nuts and seeds,Nuts and seeds,base_arrieta,D_chocolate_to_owid_choc
D050,Cacao amargo*,2,Nuts and seeds,Nuts and seeds,Nuts and seeds,base_arrieta,D_chocolate_to_owid_choc
D018,Cacao en polvo sin fortificar*,4,Nuts and seeds,Nuts and seeds,Nuts and seeds,base_arrieta,D_chocolate_to_owid_choc
D051,Cacao en polvo tipo Nesquik*,4,Nuts and seeds,Nuts and seeds,Nuts and seeds,base_arrieta,D_chocolate_to_owid_choc
D108,Cacao en polvo tipo Zucoa / Zucoa Max instantáneo otros sabores*,4,Nuts and seeds,Nuts and seeds,Nuts and seeds,base_arrieta,D_chocolate_to_owid_choc
D117,"Cacao, cascarilla*",4,Nuts and seeds,Nuts and seeds,Nuts and seeds,base_arrieta,D_chocolate_to_owid_choc
D123,Chips de chocolate,4,Nuts and seeds,Nuts and seeds,Nuts and seeds,base_arrieta,D_chocolate_to_owid_choc
D057,cacao o más,4,Nuts and seeds,Nuts and seeds,Nuts and seeds,base_arrieta,D_chocolate_to_owid_choc
D126,Chocolate amargo,4,Nuts and seeds,Nuts and seeds,Nuts and seeds,base_arrieta,D_chocolate_to_owid_choc
D058,Chocolate blanco,4,Nuts and seeds,Nuts and seeds,Nuts and seeds,base_arrieta,D_chocolate_to_owid_choc
D059,Chocolate con almendras,4,Nuts and seeds,Nuts and seeds,Nuts and seeds,base_arrieta,D_chocolate_to_owid_choc
D056,Chocolate con maní,4,Nuts and seeds,Nuts and seeds,Nuts and seeds,base_arrieta,D_chocolate_to_owid_choc
D119,Chocolate relleno con pasta de maní tipo Snickers,4,Nuts and seeds,Nuts and seeds,Nuts and seeds,base_arrieta,D_chocolate_to_owid_choc
D060,Chocolate light,4,Nuts and seeds,Nuts and seeds,Nuts and seeds,base_arrieta,D_chocolate_to_owid_choc
D016,Chocolate para taza,4,Nuts and seeds,Nuts and seeds,Nuts and seeds,base_arrieta,D_chocolate_to_owid_choc
D095,Chocolate relleno de dulce de leche tipo Tofi,4,Nuts and seeds,Nuts and seeds,Nuts and seeds,base_arrieta,D_chocolate_to_owid_choc
D017,Chocolatín / chocolate con leche,4,Nuts and seeds,Nuts and seeds,Nuts and seeds,base_arrieta,D_chocolate_to_owid_choc
D061,Huevo de chocolate tipo Kinder,4,Nuts and seeds,Nuts and seeds,Nuts and seeds,base_arrieta,D_chocolate_to_owid_choc
D063,Lentejas de chocolate,4,Nuts and seeds,Nuts and seeds,Nuts and seeds,base_arrieta,D_chocolate_to_owid_choc
D062,Maní con chocolate,4,Nuts and seeds,Nuts and seeds,Nuts and seeds,base_arrieta,D_chocolate_to_owid_choc
D131,Medallón de menta y chocolate,4,Nuts and seeds,Nuts and seeds,Nuts and seeds,base_arrieta,D_chocolate_to_owid_choc
D133,Pasas de uva con chocolate,4,Nuts and seeds,Nuts and seeds,Nuts and seeds,base_arrieta,D_chocolate_to_owid_choc
D066,Bombón helado,4,Dairy products,Dairy products,Dairy products,base_arrieta,D_icecream_to_agb_glaces
D064,Helado de agua (heladería),4,Dairy products,Dairy products,Dairy products,base_arrieta,D_icecream_to_agb_glaces
D019,Helado de agua (palito),4,Dairy products,Dairy products,Dairy products,base_arrieta,D_icecream_to_agb_glaces
D020,Helado de crema (heladería),4,Dairy products,Dairy products,Dairy products,base_arrieta,D_icecream_to_agb_glaces
D065,Helado de crema envasado,4,Dairy products,Dairy products,Dairy products,base_arrieta,D_icecream_to_agb_glaces
D067,"Helado envasado con cucurucho, PROMEDIO",4,Dairy products,Dairy products,Dairy products,base_arrieta,D_icecream_to_agb_glaces
D068,Polvo para preparar helado*,4,Dairy products,Dairy products,Dairy products,base_arrieta,D_icecream_to_agb_glaces
D111,Torta helada envasada (crema helada varios sabores con base de galleta),4,Dairy products,Dairy products,Dairy products,base_arrieta,D_bakedsweet_to_baked
D100,Almíbar,3,NA,NA,AGB_confiseries,extra_agribalyse,D_other_to_agb_confiseries
D026,Arrope,2,NA,NA,AGB_confiseries,extra_agribalyse,D_other_to_agb_confiseries
D114,Crema de avellanas con cacao tipo Nutella,4,Dairy products,Dairy products,Dairy products,base_arrieta,D_chocolate_to_owid_choc
D005,Dulce de batata,3,NA,NA,AGB_confiseries,extra_agribalyse,D_other_to_agb_confiseries
D081,Dulce de batata light,4,NA,NA,AGB_confiseries,extra_agribalyse,D_other_to_agb_confiseries
D073,Dulce de cayote,4,NA,NA,AGB_confiseries,extra_agribalyse,D_other_to_agb_confiseries
D008,Dulce de leche,4,NA,NA,AGB_confiseries,extra_agribalyse,D_other_to_agb_confiseries
D077,Dulce de leche light,4,NA,NA,AGB_confiseries,extra_agribalyse,D_other_to_agb_confiseries
D120,Dulce de mamón,4,NA,NA,AGB_confiseries,extra_agribalyse,D_other_to_agb_confiseries
D006,Dulce de membrillo,3,Fruits,Fruits,Fruits,base_arrieta,D_jam_to_fruits
D082,Dulce de membrillo light,4,Fruits,Fruits,Fruits,base_arrieta,D_jam_to_fruits
D128,Dulce de zapallo (compacto),4,NA,NA,AGB_confiseries,extra_agribalyse,D_other_to_agb_confiseries
D130,Fondant,4,NA,NA,AGB_confiseries,extra_agribalyse,D_other_to_agb_confiseries
D098,Grana para decorar tortas,4,Baked products,Baked products,Baked products,base_arrieta,D_bakedsweet_to_baked
D007,Jalea tipo membrillo,4,Fruits,Fruits,Fruits,base_arrieta,D_jam_to_fruits
D027,Kero o melaza,2,NA,NA,AGB_confiseries,extra_agribalyse,D_other_to_agb_confiseries
D010,Mermelada de frutas,4,Fruits,Fruits,Fruits,base_arrieta,D_jam_to_fruits
D025,Mermelada de frutas light,4,Fruits,Fruits,Fruits,base_arrieta,D_jam_to_fruits
D011,Miel,2,NA,Sugars_OWID,Sugars_OWID,extra_comparable,D_sugar_to_owid_sugars
D134,Miel de caña,2,NA,Sugars_OWID,Sugars_OWID,extra_comparable,D_sugar_to_owid_sugars
D099,"Pulpa de frutas para repostería, coberturas y rellenos (frutilla, arándano o maracuyá)",4,NA,NA,AGB_confiseries,extra_agribalyse,D_other_to_agb_confiseries
D105,Rapadura,2,NA,NA,AGB_confiseries,extra_agribalyse,D_other_to_agb_confiseries
D109,"Relleno y cobertura para repostería lista para batir, varios sabores",4,NA,NA,AGB_confiseries,extra_agribalyse,D_other_to_agb_confiseries
D124,"Saborizadores Tecknofood, sabores varios (malta, vainilla)",4,NA,NA,AGB_confiseries,extra_agribalyse,D_other_to_agb_confiseries
D097,Salsa topping de chocolate,4,Nuts and seeds,Nuts and seeds,Nuts and seeds,base_arrieta,D_chocolate_to_owid_choc
D096,Salsa topping de dulce de leche,4,NA,NA,AGB_confiseries,extra_agribalyse,D_other_to_agb_confiseries
G017,Chicharrón,2,Pork,Pork,Pork,base_arrieta,none
G013,Crema de leche,2,Dairy products,Dairy products,Dairy products,base_arrieta,none
G018,"Crema chantilly (lista para consumir, aerosol o industrial preparada)",4,Dairy products,Dairy products,Dairy products,base_arrieta,none
G016,Crema light,4,Dairy products,Dairy products,Dairy products,base_arrieta,none
G008,Grasa de cerdo,2,Pork,Pork,Pork,base_arrieta,none
G019,Grasa de pollo,2,Poultry,Poultry,Poultry,base_arrieta,none
G009,Grasa vacuna,2,Beef,Beef,Beef,base_arrieta,none
G010,Manteca,2,Dairy products,Dairy products,Dairy products,base_arrieta,none
G015,Manteca light,4,Dairy products,Dairy products,Dairy products,base_arrieta,none
G011,Margarina (en pote y en pan),4,Oil crops,Oil crops,Oil crops,base_arrieta,none
G012,Margarina untable light,4,Oil crops,Oil crops,Oil crops,base_arrieta,none
O013,Palitos aireados de harina de maíz o de colores,4,Baked products,Baked products,Baked products,base_arrieta,O_snack_to_baked
O014,Palitos salados,4,Baked products,Baked products,Baked products,base_arrieta,O_snack_to_baked
O015,Papas fritas de copetín,4,Baked products,Baked products,Baked products,base_arrieta,O_snack_to_baked
O043,Maní japonés,4,Nuts and seeds,Nuts and seeds,Nuts and seeds,base_arrieta,O_peanut_to_nuts
O028,Nachos,4,Baked products,Baked products,Baked products,base_arrieta,O_snack_to_baked
O041,Snacks saborizados salados a base de maíz,4,Baked products,Baked products,Baked products,base_arrieta,O_snack_to_baked
O044,"Snacks saborizados salados a base de sémola de arroz, horneados, tipo Palitos de",4,Baked products,Baked products,Baked products,base_arrieta,O_snack_to_baked
O022,Aceto balsámico,4,NA,NA,NA,unmapped,O_other_unmapped
O048,Aderezo Salsa Alioli,4,Oil crops,Oil crops,Oil crops,base_arrieta,O_dressing_to_oil
O021,Aderezo Caesar o Ranch,4,Oil crops,Oil crops,Oil crops,base_arrieta,O_dressing_to_oil
O045,Aderezo para ensaladas light,4,Oil crops,Oil crops,Oil crops,base_arrieta,O_dressing_to_oil
O037,Aderezo Salsa Cheddar,4,Oil crops,Oil crops,Oil crops,base_arrieta,O_dressing_to_oil
B069,"Jugo de limón, envasado",4,Fruits,Fruits,Fruits,base_arrieta,B_juice_to_fruits
O005,Ketchup,4,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,O_tomato_sauce_to_veg
O001,Mayonesa,4,Oil crops,Oil crops,Oil crops,base_arrieta,O_dressing_to_oil
O002,Mayonesa light,4,Oil crops,Oil crops,Oil crops,base_arrieta,O_dressing_to_oil
O003,Mayonesa de soja,4,Oil crops,Oil crops,Oil crops,base_arrieta,O_dressing_to_oil
O006,Mostaza,4,Oil crops,Oil crops,Oil crops,base_arrieta,O_dressing_to_oil
O035,"Salsa a base de tomate en tetra brick o sachet, lista para consumir (ej: pomarola,",2,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,O_tomato_sauce_to_veg
O047,Salsa agridulce,2,NA,NA,NA,unmapped,O_other_unmapped
O020,Salsa barbacoa,2,NA,NA,NA,unmapped,O_other_unmapped
O049,Salsa blanca en polvo envasada*,4,NA,NA,NA,unmapped,O_other_unmapped
O051,Salsa chimichurri envasada,2,NA,NA,NA,unmapped,O_other_unmapped
O046,"Salsa deshidratada varios sabores, polvo*",4,NA,NA,NA,unmapped,O_other_unmapped
O034,Salsa de soja,2,NA,NA,NA,unmapped,O_other_unmapped
O004,Salsa Golf,2,NA,NA,NA,unmapped,O_other_unmapped
O040,"Salsa para guiso campero envasada, fortificada*",4,NA,NA,NA,unmapped,O_other_unmapped
O023,Vinagre,2,NA,NA,NA,unmapped,O_other_unmapped
O007,Caldos en cubo*,4,NA,NA,NA,unmapped,O_other_unmapped
O039,Caldos en polvo*,4,NA,NA,NA,unmapped,O_other_unmapped
O008,Caldos en polvo light*,4,NA,NA,NA,unmapped,O_other_unmapped
O009,Caldos en polvo sin sal light*,4,NA,NA,NA,unmapped,O_other_unmapped
O010,Sopa crema instantánea preparada,4,NA,NA,NA,unmapped,O_other_unmapped
O011,Sopa crema preparada a partir de polvo premezcla light,4,NA,NA,NA,unmapped,O_other_unmapped
O012,Sopa crema preparada a partir de polvo premezcla sin sal light,4,NA,NA,NA,unmapped,O_other_unmapped
O024,Saborizador en cubos,4,NA,NA,NA,unmapped,O_other_unmapped
O038,Saborizador en polvo,4,NA,NA,NA,unmapped,O_other_unmapped
O025,Sopa de fideos deshidratada envasada para preparar*,4,NA,NA,NA,unmapped,O_other_unmapped
O029,"Sopa crema instantánea, polvo para preparar (sabores varios)*",4,NA,NA,NA,unmapped,O_other_unmapped
O030,"Sopa crema instantánea, polvo para preparar light (sabores varios)*",4,NA,NA,NA,unmapped,O_other_unmapped
O036,"Sopa de vegetales instantánea, polvo para preparar*",4,NA,NA,NA,unmapped,O_other_unmapped
D103,Arroz con leche envasado listo para consumir,4,NA,NA,AGB_confiseries,extra_agribalyse,D_other_to_agb_confiseries
D121,"Arroz con leche envasado sabor caramelo, fortificado",4,NA,Sugars_OWID,Sugars_OWID,extra_comparable,D_sugar_to_owid_sugars
D069,Gelatina envasada lista para consumir,4,NA,NA,AGB_glaces,extra_agribalyse,D_icecream_to_agb_glaces
D022,"Gelatina light, preparada a partir de polvo",4,NA,NA,AGB_glaces,extra_agribalyse,D_icecream_to_agb_glaces
D021,Gelatina preparada a partir de polvo,4,NA,NA,AGB_glaces,extra_agribalyse,D_icecream_to_agb_glaces
D009,Polvo para preparar flan*,4,Dairy products,Dairy products,Dairy products,base_arrieta,D_other_to_agb_confiseries
D075,Polvo para preparar postre lácteo*,4,Dairy products,Dairy products,Dairy products,base_arrieta,D_icecream_to_agb_glaces
D076,Polvo para preparar postre lácteo light*,4,Dairy products,Dairy products,Dairy products,base_arrieta,D_icecream_to_agb_glaces
D112,Polvo para preparar mousse de limón / chocolate*,4,Nuts and seeds,Nuts and seeds,Nuts and seeds,base_arrieta,D_chocolate_to_owid_choc
O042,Bicarbonato de sodio,2,NA,NA,NA,unmapped,O_other_unmapped
O026,Sal,2,NA,NA,NA,unmapped,O_salt_unmapped
O050,Sal Marina,2,NA,NA,NA,unmapped,O_salt_unmapped
O033,"Sal dietética o modificada, PROMEDIO",4,NA,NA,NA,unmapped,O_salt_unmapped
O027,"Sal dietética, sin sodio",4,NA,NA,NA,unmapped,O_salt_unmapped
O031,Cloruro de sodio,2,NA,NA,NA,unmapped,O_other_unmapped
O032,Cloruro de sodio,2,NA,NA,NA,unmapped,O_other_unmapped
B055,Achilate / achilata,4,NA,NA,AGB_boissons_sans_alcool,extra_agribalyse,B_other_to_agb_non_alcohol
B044,"Agua saborizada Aquarius, varios sabores",4,NA,NA,AGB_eaux,extra_agribalyse,B_water_to_agb_eaux
B046,"Agua saborizada Awafrut, varios sabores",4,NA,NA,AGB_eaux,extra_agribalyse,B_water_to_agb_eaux
B030,"Agua saborizada con azúcar, PROMEDIO",4,NA,NA,AGB_eaux,extra_agribalyse,B_water_to_agb_eaux
B045,"Agua saborizada Levité, varios sabores",4,NA,NA,AGB_eaux,extra_agribalyse,B_water_to_agb_eaux
B047,"Agua saborizada tipo Sierra de los Padres, Manaos, otros",4,NA,NA,AGB_eaux,extra_agribalyse,B_water_to_agb_eaux
B001,Amargo serrano*,4,NA,NA,AGB_boissons_sans_alcool,extra_agribalyse,B_other_to_agb_non_alcohol
B003,"Bebida a base de soja y jugo, varios sabores",4,Fruits,Fruits,Fruits,base_arrieta,B_juice_to_fruits
B004,"Bebida a base de soja y jugo, varios sabores light",4,Fruits,Fruits,Fruits,base_arrieta,B_juice_to_fruits
B020,Bebida a base de soja sabor natural,4,Legumes and pulses,Legumes and pulses,Legumes and pulses,base_arrieta,B_other_to_agb_non_alcohol
B008,"Gaseosa con azúcar, PROMEDIO",4,NA,NA,AGB_boissons_sans_alcool,extra_agribalyse,B_other_to_agb_non_alcohol
B021,"Gaseosa con azúcar, sabor cola",4,NA,NA,AGB_boissons_sans_alcool,extra_agribalyse,B_other_to_agb_non_alcohol
B022,"Gaseosa con azúcar, sabor lima limón",4,Fruits,Fruits,Fruits,base_arrieta,B_other_to_agb_non_alcohol
B023,"Gaseosa con azúcar, sabor naranja",4,Fruits,Fruits,Fruits,base_arrieta,B_other_to_agb_non_alcohol
B024,"Gaseosa con azúcar, sabor pomelo",4,Fruits,Fruits,Fruits,base_arrieta,B_other_to_agb_non_alcohol
B025,"Gaseosa con azúcar, agua tónica",4,NA,NA,AGB_eaux,extra_agribalyse,B_water_to_agb_eaux
B037,"Gatorade, varios sabores",4,NA,NA,AGB_boissons_sans_alcool,extra_agribalyse,B_other_to_agb_non_alcohol
B054,Jugo congelado con azúcar en sachet,2,Fruits,Fruits,Fruits,base_arrieta,B_juice_to_fruits
B010,Jugo de fruta envasado varios sabores,4,Fruits,Fruits,Fruits,base_arrieta,B_juice_to_fruits
B011,"Jugo en polvo con azúcar, PROMEDIO*",4,Fruits,Fruits,Fruits,base_arrieta,B_juice_to_fruits
B053,Jugo en polvo con azúcar*,4,Fruits,Fruits,Fruits,base_arrieta,B_juice_to_fruits
B014,Jugo concentrado con azúcar para diluir*,4,Fruits,Fruits,Fruits,base_arrieta,B_juice_to_fruits
B038,"Powerade, varios sabores",4,NA,NA,AGB_boissons_sans_alcool,extra_agribalyse,B_other_to_agb_non_alcohol
B049,"Agua saborizada H2O, varios sabores",4,NA,NA,AGB_eaux,extra_agribalyse,B_water_to_agb_eaux
B051,Agua saborizada Flip light,4,NA,NA,AGB_eaux,extra_agribalyse,B_water_to_agb_eaux
B048,"Agua saborizada Levité Cero, varios sabores light",4,NA,NA,AGB_eaux,extra_agribalyse,B_water_to_agb_eaux
B031,"Agua saborizada light, PROMEDIO",4,NA,NA,AGB_eaux,extra_agribalyse,B_water_to_agb_eaux
B050,Agua saborizada We o Ser ligth,4,NA,NA,AGB_eaux,extra_agribalyse,B_water_to_agb_eaux
B002,Amargo serrano light*,4,NA,NA,AGB_boissons_sans_alcool,extra_agribalyse,B_other_to_agb_non_alcohol
B009,"Gaseosa light, PROMEDIO",4,NA,NA,AGB_boissons_sans_alcool,extra_agribalyse,B_other_to_agb_non_alcohol
B112,"Gaseosa light, Guaraná",4,NA,NA,AGB_boissons_sans_alcool,extra_agribalyse,B_other_to_agb_non_alcohol
