scenario,reduction_pct,scenario_model,replacement_target,deaths_averted,deaths_averted_lo,deaths_averted_hi,yll_averted,yll_averted_lo,yll_averted_hi,pvle_averted_billion_intl_ppp,pvle_averted_billion_intl_ppp_lo,pvle_averted_billion_intl_ppp_hi,e30_gain_years,reduction,ghg_kg_co2eq_avoided_value,land_m2_avoided_value,water_l_avoided_value,eutro_g_po4eq_avoided_value,ghg_kg_co2eq_avoided_pct_of_baseline,land_m2_avoided_pct_of_baseline,water_l_avoided_pct_of_baseline,eutro_g_po4eq_avoided_pct_of_baseline
red_10,10,isocaloric_replacement,NDG_ARG,976.9323402751236,549.2125067284302,1455.887085145098,34886.720589937104,19637.925980255815,51887.454005942804,0.08433163547198252,0.04761696767550352,0.1248847119570925,0.02769504040726644,0.1,2503.6965571499895,890141.7620745813,-122755879.2113971,-816971.4724367596,0.00234984338264081,0.15857058088714163,-3.1171308557393225,-0.274259040878466
red_10,10,isocaloric_replacement,NOVA1,976.9323402751236,549.2125067284302,1455.887085145098,34886.720589937104,19637.925980255815,51887.454005942804,0.08433163547198252,0.04761696767550352,0.1248847119570925,0.02769504040726644,0.1,-1110125.552463045,-3449200.2305461187,-94379208.12121318,-5305354.459663181,-1.0419078845262373,-0.6144433476293125,-2.396564169999957,-1.7810186459603072
red_10,10,isocaloric_replacement,NOVA1_NOVA3_mix,976.9323402751236,549.2125067284302,1455.887085145098,34886.720589937104,19637.925980255815,51887.454005942804,0.08433163547198252,0.04761696767550352,0.1248847119570925,0.02769504040726644,0.1,15312.495653877731,947428.290480624,-7354091.246795505,-250289.00006928295,0.01437153655111461,0.1687756498698424,-0.1867418887679672,-0.0840225435249154
red_10,10,isocaloric_replacement,NOVA3,976.9323402751236,549.2125067284302,1455.887085145098,34886.720589937104,19637.925980255815,51887.454005942804,0.08433163547198252,0.04761696767550352,0.1248847119570925,0.02769504040726644,0.1,790837.0428913631,3977087.140957342,52613771.46696837,3233090.0791851273,0.7422397840818593,0.7084815532197752,1.336017562092273,1.0853551367543437
red_10,10,isoweight_replacement,NDG_ARG,976.9323402751236,549.2125067284302,1455.887085145098,34886.720589937104,19637.925980255815,51887.454005942804,0.08433163547198252,0.04761696767550352,0.1248847119570925,0.02769504040726644,0.1,-914855.93545707,-4942992.323354613,-58746480.77466847,-4592447.464387985,-0.8586376651212867,-0.8805486917142871,-1.491744990669371,-1.5416942688476667
red_10,10,isoweight_replacement,NOVA1,976.9323402751236,549.2125067284302,1455.887085145098,34886.720589937104,19637.925980255815,51887.454005942804,0.08433163547198252,0.04761696767550352,0.1248847119570925,0.02769504040726644,0.1,-877781.1103936655,-2536169.8488511825,-75765637.68022,-4220139.310687903,-0.8238411031781024,-0.4517953693392611,-1.9239111685320616,-1.4167096389187177
red_10,10,isoweight_replacement,NOVA1_NOVA3_mix,976.9323402751236,549.2125067284302,1455.887085145098,34886.720589937104,19637.925980255815,51887.454005942804,0.08433163547198252,0.04761696767550352,0.1248847119570925,0.02769504040726644,0.1,-78958.04179182998,546244.2999856174,-18621906.458096206,-929391.3175884048,-0.07410603792258749,0.09730840597023016,-0.4728646773264588,-0.3119986192446892
red_10,10,isoweight_replacement,NOVA3,976.9323402751236,549.2125067284302,1455.887085145098,34886.720589937104,19637.925980255815,51887.454005942804,0.08433163547198252,0.04761696767550352,0.1248847119570925,0.02769504040726644,0.1,471500.4215921409,2670295.3227627752,20755086.66706782,1338219.8154199717,0.4425265283952196,0.4756885908642865,0.5270323627599767,0.44924320547808294
red_10,10,no_replacement,none,976.9323402751236,549.2125067284302,1455.887085145098,34886.720589937104,19637.925980255815,51887.454005942804,0.08433163547198252,0.04761696767550352,0.1248847119570925,0.02769504040726644,0.1,1060353.626160925,5080005.010043208,79502149.75504927,4832339.664626652,0.9951944633936632,0.9049562436827318,2.0187921400677333,1.6222265848114592
red_20,20,isocaloric_replacement,NDG_ARG,1966.43871239562,1108.2696960624237,2922.310721796121,70194.98247315649,39613.17885348922,104106.6944567318,0.1694572406520778,0.09592746775362287,0.25020982815721177,0.05572616361214244,0.2,5007.393114299979,1780283.5241491627,-245511758.4227942,-1633942.9448735192,0.00469968676528163,0.31714116177428325,-6.234261711478645,-0.548518081756932
red_20,20,isocaloric_replacement,NOVA1,1966.43871239562,1108.2696960624237,2922.310721796121,70194.98247315649,39613.17885348922,104106.6944567318,0.1694572406520778,0.09592746775362287,0.25020982815721177,0.05572616361214244,0.2,-2220251.10492609,-6898400.461092237,-188758416.24242637,-10610708.91932636,-2.0838157690524746,-1.228886695258625,-4.793128339999914,-3.5620372919206145
red_20,20,isocaloric_replacement,NOVA1_NOVA3_mix,1966.43871239562,1108.2696960624237,2922.310721796121,70194.98247315649,39613.17885348922,104106.6944567318,0.1694572406520778,0.09592746775362287,0.25020982815721177,0.05572616361214244,0.2,30624.991307755467,1894856.580961248,-14708182.49359101,-500578.0001385659,0.02874307310222922,0.3375512997396848,-0.3734837775359344,-0.1680450870498308
red_20,20,isocaloric_replacement,NOVA3,1966.43871239562,1108.2696960624237,2922.310721796121,70194.98247315649,39613.17885348922,104106.6944567318,0.1694572406520778,0.09592746775362287,0.25020982815721177,0.05572616361214244,0.2,1581674.0857827263,7954174.281914684,105227542.93393674,6466180.158370255,1.4844795681637186,1.4169631064395505,2.672035124184546,2.170710273508687
red_20,20,isoweight_replacement,NDG_ARG,1966.43871239562,1108.2696960624237,2922.310721796121,70194.98247315649,39613.17885348922,104106.6944567318,0.1694572406520778,0.09592746775362287,0.25020982815721177,0.05572616361214244,0.2,-1829711.87091414,-9885984.646709226,-117492961.54933694,-9184894.92877597,-1.7172753302425734,-1.761097383428574,-2.983489981338742,-3.0833885376953334
red_20,20,isoweight_replacement,NOVA1,1966.43871239562,1108.2696960624237,2922.310721796121,70194.98247315649,39613.17885348922,104106.6944567318,0.1694572406520778,0.09592746775362287,0.25020982815721177,0.05572616361214244,0.2,-1755562.220787331,-5072339.697702365,-151531275.36044,-8440278.621375807,-1.6476822063562049,-0.9035907386785222,-3.847822337064123,-2.8334192778374354
red_20,20,isoweight_replacement,NOVA1_NOVA3_mix,1966.43871239562,1108.2696960624237,2922.310721796121,70194.98247315649,39613.17885348922,104106.6944567318,0.1694572406520778,0.09592746775362287,0.25020982815721177,0.05572616361214244,0.2,-157916.08358365996,1092488.5999712348,-37243812.91619241,-1858782.6351768095,-0.14821207584517498,0.19461681194046035,-0.9457293546529176,-0.6239972384893784
red_20,20,isoweight_replacement,NOVA3,1966.43871239562,1108.2696960624237,2922.310721796121,70194.98247315649,39613.17885348922,104106.6944567318,0.1694572406520778,0.09592746775362287,0.25020982815721177,0.05572616361214244,0.2,943000.8431842818,5340590.6455255505,41510173.33413564,2676439.630839943,0.8850530567904392,0.951377181728573,1.0540647255199531,0.8984864109561659
red_20,20,no_replacement,none,1966.43871239562,1108.2696960624237,2922.310721796121,70194.98247315649,39613.17885348922,104106.6944567318,0.1694572406520778,0.09592746775362287,0.25020982815721177,0.05572616361214244,0.2,2120707.25232185,10160010.020086415,159004299.51009855,9664679.329253305,1.9903889267873265,1.8099124873654635,4.037584280135467,3.2444531696229184
red_50,50,isocaloric_replacement,NDG_ARG,4970.866364630164,2826.885857735681,7316.226943526879,177222.99787115928,100917.1691092316,260298.71844419863,0.4260935411694733,0.243413134218729,0.6229422920666672,0.14069664146378358,0.5,12518.48278575018,4450708.810372908,-613779396.0569854,-4084857.362183798,0.01174921691320431,0.7928529044357082,-15.585654278696609,-1.37129520439233
red_50,50,isocaloric_replacement,NOVA1,4970.866364630164,2826.885857735681,7316.226943526879,177222.99787115928,100917.1691092316,260298.71844419863,0.4260935411694733,0.243413134218729,0.6229422920666672,0.14069664146378358,0.5,-5550627.762315225,-17246001.152730588,-471896040.60606587,-26526772.298315898,-5.2095394226311855,-3.072216738146562,-11.982820849999785,-8.905093229801535
red_50,50,isocaloric_replacement,NOVA1_NOVA3_mix,4970.866364630164,2826.885857735681,7316.226943526879,177222.99787115928,100917.1691092316,260298.71844419863,0.4260935411694733,0.243413134218729,0.6229422920666672,0.14069664146378358,0.5,76562.4782693889,4737141.452403121,-36770456.23397744,-1251445.0003464147,0.07185768275557326,0.8438782493492122,-0.9337094438398336,-0.42011271762457697
