sexo_m,age_group,population
1,30-34,968400
1,35-39,1006400
1,40-44,1016500
1,45-49,963000
1,50-54,902500
1,55-59,807400
1,60-64,686200
1,65-69,559100
0,30-34,969200
0,35-39,1013300
0,40-44,1041300
0,45-49,1003600
0,50-54,957800
0,55-59,881100
0,60-64,781800
0,65-69,665800
