scenario,scenario_label,scenario_type,scenario_value,deaths_averted,deaths_averted_lo,deaths_averted_hi,yll_averted,yll_averted_lo,yll_averted_hi,pvle_averted_billion_intl_ppp,pvle_averted_billion_intl_ppp_lo,pvle_averted_billion_intl_ppp_hi,e30_actual,e30_without_scenario_deaths,e30_gain_years
red_10,10% reduction,relative_reduction,0.1,976.9323402751235,549.2125067284302,1455.8870851450981,34886.720589937104,19637.925980255815,51887.454005942804,0.08433163547198252,0.047616967675503524,0.1248847119570925,36.85049729165298,36.878192332060244,0.027695040407266447
red_20,20% reduction,relative_reduction,0.2,1966.4387123956199,1108.2696960624237,2922.310721796121,70194.98247315649,39613.17885348922,104106.6944567318,0.1694572406520778,0.09592746775362289,0.25020982815721177,36.85049729165298,36.90622345526512,0.05572616361214244
red_50,50% reduction,relative_reduction,0.5,4970.866364630164,2826.885857735681,7316.226943526879,177222.99787115928,100917.16910923159,260298.71844419863,0.4260935411694733,0.243413134218729,0.6229422920666672,36.85049729165298,36.99119393311676,0.14069664146378358
ndg_gapa_conservative,ndg_gapa_conservative,absolute_target_pct,5.445,6520.764494311971,3650.347504238727,9825.038976405136,232727.74499114978,130702.11578938572,349255.4273122875,0.5551270924496969,0.3138581596399137,0.8265226342300157,36.85049729165298,37.035409860752914,0.1849125690999358
ndg_gapa_central,ndg_gapa_central,absolute_target_pct,3.63,7646.130353727429,4343.319163861635,11309.050758091473,272580.23220994876,155172.3207785303,401904.9065352422,0.6511968391851938,0.37237042963464556,0.9537739773550765,36.85049729165298,37.06705401181745,0.21655672016446914
ndg_gapa_strict,ndg_gapa_strict,absolute_target_pct,1.815,8746.972376505866,5021.280643486814,12760.505236769668,311567.27497823135,179135.7276595142,453493.4756783882,0.7451276126914643,0.42983411865727433,1.0793122479046058,36.85049729165298,37.098053649414815,0.24755635776183738
