component,NOVA,energy_kcal_mapped_denominator,mapped_energy_pct_in_scope,ghg_kg_co2eq,ghg_share_pct,land_m2,land_share_pct,water_l,water_share_pct,eutro_g_po4eq,eutro_share_pct
TOTAL_DIET_MAPPED_SCOPE,NA,22125046165.713852,99.49516468022915,106547379.95075513,100,561353661.627888,100,3938104779.4441023,100,297883150.84161216,100
NOVA1,1,5223055518.903113,100,79411949.25669023,74.53205258861686,424780037.90745527,75.6706630674897,2289331834.4741178,58.13283197602672,182215886.26280317,61.17025610478029
NOVA2,2,4782015144.805616,98.05681016585586,3764672.8618902597,3.533332179196001,16629024.758421158,2.9623080590938167,347645154.06871265,8.82772738509476,25660294.947358232,8.614214961423615
NOVA3,3,7579676786.94325,100,12767221.570565397,11.982670598250513,69144548.86157946,12.317466436589175,506106293.3507787,12.851519238201174,41683572.985184215,13.993263085681487
NOVA4_UPF,4,4540298715.061873,99.61611513358429,10603536.261609249,9.95194463393663,50800050.100432076,9.049562436827317,795021497.5504928,20.18792140067733,48323396.64626652,16.22226584811459
