NOVA,ghg_kg_co2eq,land_m2,water_l,eutro_g_po4eq
1,79411949.25669023,424780037.90745527,2289331834.4741178,182215886.26280317
2,3764672.8618902597,16629024.758421158,347645154.06871265,25660294.947358232
3,12767221.570565397,69144548.86157946,506106293.3507787,41683572.985184215
4,10603536.261609249,50800050.100432076,795021497.5504928,48323396.64626652
