codigo,descripcion,kcal_100g
A185,Galletas de arroz,380.0
A123,Galletas de arroz sin sal,367.0
A067,Galletitas integrales sin sal,411.0
A186,Galletitas dulces con centro de membrillo o similar (tipo Pepas),473.0
A181,Galletitas dulces con chips de chocolate,480.0
A220,Galletitas dulces hojaldradas,414.0
A023,Galletitas dulces rellenas,473.0
A211,Galletitas dulces rellenas bañadas en chocolate,520.0
A024,Galletitas dulces simples,450.0
A124,"Galletitas dulces, SIN TACC",458.0
A177,Galletitas dulces de almidón de maíz (tapita de alfajor),450.0
A125,Galletitas dulces tipo Frutigran,423.0
A068,Galletitas dulces obleas,480.0
A020,"Galletitas de agua, PROMEDIO",438.0
A066,Galletitas de agua sin sal,438.0
A258,Galletitas de agua sin sal con chía y lino,435.0
A127,Galletitas de agua con girasol alto oleico,438.0
A021,Grasa vacuna,899.0
A247,Galletitas de agua light,438.0
A022,Galletitas de salvado o integrales,411.0
A126,Galletitas tipo copetín,500.0
A198,Galletitas tipo talitas o fajitas,438.0
A025,"Garbanzos, crudos",339.0
A128,"Garbanzos, enlatados",117.0
A129,Gérmen de trigo,334.0
A026,Granola,453.0
A069,Grisines,380.0
A130,Grisines sin sal,380.0
A175,Hamburguesa de soja congelada,157.0
A027,Harina de algarrobo,221.0
A028,"Harina de arroz, cruda",348.0
A029,"Harina de cebada, cruda",328.0
A030,"Harina de centeno, cruda",333.0
A212,Harina de chía,374.0
A131,"Harina de garbanzos, cruda",338.0
A031,"Harina de maíz, cruda",307.0
A070,"Harina de quinoa, cruda",304.0
A032,"Harina de soja, cruda",338.0
A033,"Harina de trigo con levadura para pizza, cruda",360.0
A202,"Harina de trigo con levadura para pizza, cruda",360.0
A132,"Harina de trigo fortificada, cruda",329.0
A034,"Harina de trigo integral, cruda",308.0
A133,"Harina leudante, cruda",329.0
A035,"Lentejas, crudas",301.0
A134,"Lentejas, enlatadas",86.0
A178,Levadura en polvo,288.0
A179,Levadura fresca,91.0
A135,Madalenas,368.0
A187,Madalenas rellenas,371.0
A136,Madalenas fortificadas,364.0
A036,"Maíz, grano entero, crudo",317.0
A197,"Masa de pizza, preparada a partir de polvo premezcla",248.0
A138,"Masa de pizza, preparada a partir de polvo premezcla, SIN TACC",248.0
A038,Masa de prepizza de panadería o envasada,241.0
A037,Masa de tarta o empanadas,337.0
A139,Masa de tarta o empanadas light,268.0
A218,"Masa de tarta, SIN TACC",283.0
A242,Masas finas surtidas (panadería / confitería),431.0
A140,"Ñoquis de papa, envasados, cru- dos",159.0
A171,Ñoquis preparados a partir de polvo premezcla,139.0
A172,"Ñoquis preparados a partir de polvo premezcla, SIN TACC",151.0
A241,Panko (pan rallado japonés),314.0
A071,Pan árabe,261.0
A215,"Pan cacho (tipo pan casero de campo, sin grasa)",268.0
A240,"Pan con grasa (tipo pan ""cordero"")",329.0
A072,Pan criollo / semita / tortillas / bollos / harinitas,268.0
A040,Pan de Centeno,234.0
A042,Pan de gluten,231.0
A043,Pan de maíz,265.0
A044,Pan de miga,241.0
A048,Pan de molde con salvado,225.0
A045,Pan de salvado,263.0
A184,Pan de salvado con semillas,258.0
A141,Pan de molde con salvado sin sal,263.0
A246,Pan de salvado,263.0
A046,Pan de viena,298.0
A142,Pan dulce,358.0
A041,Pan francés o pan casero sin agregado de grasa o aceite,268.0
A245,Pan francés sin sal,268.0
A047,"Pan blanco, tipo molde, lacteado",244.0
A237,"Pan lactal, SIN TACC",230.0
A049,Pan negro sin levadura,228.0
A050,Pan rallado,371.0
A226,"Pan rallado, SIN TACC",335.0
A144,"Pan rallado, fortificado",371.0
A169,Pan figacita de manteca,278.0
A079,Papaya,38.0
A152,"Papa, puré instantáneo (polvo)",335.0
A249,Pastelitos rellenos de dulce de membrillo o batata (panadería / confitería),404.0
A147,Patay,221.0
A148,Pionono,294.0
A149,Pochoclo acaramelado,426.0
A150,Pochoclo salado,478.0
A190,Polvo de hornear,96.0
A189,Polvo para preparar brownie,415.0
A051,"Porotos, crudos",276.0
A052,"Soja, porotos, crudos",413.0
A151,"Porotos, enlatados",80.0
A165,"Milanesa de arroz, prefrita",240.0
A164,"Milanesa de soja, prefrita",256.0
A256,"Premezcla para bizcochuelo, SIN TACC",377.0
A154,Puflito,371.0
A155,Quinoa inflada,407.0
A053,"Quinoa, semilla, cruda",330.0
A054,"Ravioles frescos, artesanal, crudos",295.0
A156,"Ravioles frescos, envasados, cru- dos",272.0
A243,Rosquete,342.0
A210,Rosquita tipo Doughtnut,363.0
A227,Rosquita tipo Doughtnut,363.0
A219,Rosquita tipo Doughtnut,363.0
A209,Rosquito de vino (cuyano),465.0
A055,Salvado de avena,336.0
A056,"Cereal desayuno, salvado de trigo tipo bastoncitos",259.0
A057,"Cereal desayuno, salvado de trigo tipo bastoncitos",259.0
A058,"Fideos secos integrales / fideos secos de sémola y harina de le- gumbres, crudos",346.0
A195,"Sémola fortificada, cruda",336.0
A170,Soja texturizada,283.0
A183,"Sushi, PROMEDIO",87.0
A222,"Tapas para lasagna, pasta seca",352.0
A059,"Tapioca (almidón de mandioca), crudo",352.0
A168,Tofu,149.0
A238,Torta de coco (panadería),507.0
A251,Torta de manzana (panadería),317.0
A235,Torta de ricotta (panadería),363.0
A062,Torta frita,426.0
A228,Torta mil hojas,407.0
A208,"Tortillas de trigo, envasadas",288.0
A158,Tortitas Jachaleras,484.0
A159,Tostadas de gluten,335.0
A160,Tostadas de mesa,388.0
A161,Tostadas integrales,386.0
A162,Tostadas light,361.0
A163,Tostadas sin sal,388.0
A221,"Tostaditas saladas, saborizadas, producto tipo copetín",474.0
A239,"Trigo burgol, crudo",315.0
A060,"Trigo, grano entero, crudo",294.0
A230,Trigo inflado azucarado,379.0
A174,Turrón tipo navideño,485.0
A166,Tutuca,341.0
L065,"Alimento a base de leche entera y café, fortificado con calcio, varios sabores, listo para consumir",48.0
L001,"Leche parcialmente descremada, sabor chocolate o dulce de leche, fortificada con vitaminas A y D, lista para consumir",67.0
L034,Leche condensada,328.0
L002,"Leche de cabra, entera, fluida",84.0
L070,"Leche de cabra, entera, en polvo",526.0
L003,"Leche de oveja, entera, fluida",99.0
L069,"Leche descremada en polvo, tipo Nido Buen Día, fortificada con hierro y calcio",495.0
L060,"Leche descremada fluida, con 50% más de proteínas",43.0
L045,"Leche en polvo, 25% menos de grasas saturadas, fortificada con vitaminas A, D, C, calcio y zinc",501.0
L041,"Leche semidescremada en polvo, deslactosada",496.0
L039,"Leche entera fluida, con azúcar, lista para consumir",76.0
L055,Leche entera en polvo tipo Nido Fortigrow,496.0
L007,"Leche entera fluida, con vitaminas A y D",58.0
L054,"Leche entera fluida, fortificada con vitaminas A, D, C, B9 y extra calcio",57.0
L059,"Leche fórmula, tipo Enfabebe Confort, en polvo",515.0
L056,"Leche fórmula, tipo GA1 Anamix Infant, en polvo",459.0
L058,"Leche fórmula, tipo Nutrilon Pepti junior HE, en polvo",511.0
L062,"Leche fórmula 0-12 meses, sin lactosa, en polvo",504.0
L035,"Leche fórmula etapa 3, en polvo",460.0
L036,"Leche fórmula etapa 3, fluida",67.0
L037,"Leche fórmula etapa 4, en polvo",436.0
L038,"Leche fórmula etapa 4, fluida",61.0
L022,"Leche fórmula inicio, en polvo",472.0
L024,"Leche fórmula inicio, fluida",66.0
L049,"Leche fórmula para prematuros etapa 1, en polvo",503.0
L050,"Leche fórmula para prematuros etapa 1, fluida",79.0
L051,"Leche fórmula para prematuros etapa 2, en polvo",503.0
L052,"Leche fórmula para prematuros etapa 2, fluida",79.0
L023,"Leche fórmula seguimiento, en polvo",449.0
L025,"Leche fórmula seguimiento, fluida",66.0
L064,"Leche seguimiento etapa 3, sabor vainilla",68.0
L040,Leche materna,70.0
L030,"Leche parcialmente descremada fluida, fortificada con vitaminas A, D, C y ác. fólico",44.0
L005,"Leche parcialmente descremada fluida, fortificada con vitaminas A y D",44.0
L012,"Leche parcialmente descremada fluida, deslactosada, fortificada con vitaminas A y D",44.0
L068,"Bebida láctea parcialmente des- cremada fluida, baja en lactosa, fortificada con vitaminas A, D, B2, B9 y Zinc",44.0
L017,Probióticos descremados,39.0
L018,Probióticos enteros,84.0
L013,Postre de leche bebible infantil,59.0
Y014,Yogur con fitoesteroles,46.0
Y003,Yogur descremado,36.0
Y005,Yogur descremado bebible,36.0
Y012,Yogur descremado con cereales,69.0
Y013,Yogur descremado con frutas,56.0
Y017,Yogur descremado con frutas,56.0
Y004,Yogur entero bebible saborizado,76.0
Y010,Yogur entero con cereales,123.0
Y011,Yogur entero con frutas,96.0
Y018,Yogur entero con frutas y cereales,133.0
Y001,Yogur entero natural,62.0
Y002,Yogur entero saborizado,87.0
Y015,Yogur descremado,36.0
Y016,Yogur fortificado con hierro,87.0
Q033,Queso Reggianito,381.0
Q022,Queso Azul,368.0
Q003,"Queso blanco descremado, untable",82.0
