codigo,descripcion,kcal_100g
O026,"Arroz envasado deshidratado listo para preparar con salsa u otros ingredientes (tipo cuatro quesos, primavera, etc.)",355.0
B044,"Agua saborizada Aquarius, varios sabores",30.0
B046,"Agua saborizada Awafrut, varios sabores",14.0
B047,"Agua saborizada tipo Sierra de los Padres, Manaos, otros",34.0
B001,Amargo serrano,80.0
B003,"Bebida a base de soja y jugo, varios sabores",33.0
B004,"Bebida a base de soja y jugo, varios sabores light",16.0
B020,Bebida a base de soja sabor natural,40.0
B008,"Gaseosa con azúcar, PROMEDIO",40.0
B022,Limón,35.0
B023,Naranja,43.0
B024,Pomelo,22.0
B037,"Gatorade, varios sabores",28.0
B011,Jugo en polvo con azúcar,322.0
B053,Jugo en polvo con azúcar,322.0
B038,"Powerade, varios sabores",24.0
B051,Agua saborizada Flip light,17.0
B031,"Agua saborizada light, PROMEDIO",1.0
B002,Amargo serrano,80.0
B027,Limón,35.0
B028,Naranja,43.0
B029,Pomelo,22.0
B052,Jugo en polvo BC,386.0
B012,Jugo en polvo light,285.0
B121,"Jugo tipo BC, varios sabores (ali- mento líquido dietético con 50% de jugo y pulpa)",20.0
B129,Ananá Fizz,60.0
B119,"Aperitivo, tipo Gancia",163.0
B041,Bebida energizante,45.0
B113,Fernet,280.0
B006,Cerveza con alcohol,43.0
B007,Cerveza sin alcohol,25.0
B042,Champagne,83.0
B115,Dr. Lemon,68.0
B043,Fernet,280.0
B013,"Licor, PROMEDIO",378.0
B015,Sidra,43.0
B016,Vermouth,138.0
B017,Vino blanco,83.0
B120,"Vino espumante, tipo Frizze",66.0
B122,Vino Mistela,163.0
B072,Vino tinto,84.0
B125,Vodka,298.0
B078,Arándanos,54.0
B124,"Jugo de arándanos, natural",37.0
B033,"Jugo de fruta, pasteurizado no reconstituido",47.0
B034,"Jugo de limón, exprimido",30.0
B035,"Jugo de naranja, exprimido",45.0
B116,"Jugo de papaya, natural",56.0
B036,"Jugo de pomelo, exprimido",40.0
B056,Café instantáneo descafeinado (polvo o granulado para preparar),392.0
B058,Café preparado a partir de grano molido (tipo café de filtro),1.0
B061,Capucchino preparado,27.0
R053,"McDonald's, BigMc",240.0
R066,Dulce de leche,315.0
R067,Frutilla,31.0
S153,Pastillas,336.0
S164,Limón,35.0
